date,filename,filename_id,fish_detected,confidence,actual_class,predicted_class,reason
2025-01-07,2025-01-07_11_14_10_(18642)_mackerel_input.jpeg,(18642)_(1),2,[    0.95411     0.95154],Bad,Good,0.2868092
2025-01-07,2025-01-07_11_14_10_(18642)_mackerel_input.jpeg,(18642)_(2),2,[    0.95411     0.95154],Bad,Good,0.96386766
2025-01-07,2025-01-07_11_13_58_(18640)_mackerel_input.jpeg,(18640)_(1),2,[    0.94833       0.953],Good,Good,0.96897733
2025-01-07,2025-01-07_11_13_58_(18640)_mackerel_input.jpeg,(18640)_(2),2,[    0.94833       0.953],Good,Good,0.96888095
2025-01-07,2025-01-07_11_09_15_(18613)_mackerel_input.jpeg,(18613)_(1),2,[     0.9507     0.95924],Good,Good,0.9764097
2025-01-07,2025-01-07_11_09_15_(18613)_mackerel_input.jpeg,(18613)_(2),2,[     0.9507     0.95924],Good,Good,0.98876745
2025-01-07,2025-01-07_11_06_05_(18607)_mackerel_input.jpeg,(18607)_(1),2,[    0.94788      0.9576],Good,Good,0.99064374
2025-01-07,2025-01-07_11_06_05_(18607)_mackerel_input.jpeg,(18607)_(2),2,[    0.94788      0.9576],Good,Good,0.96824616
2025-01-07,2025-01-07_11_09_23_(18614)_mackerel_input.jpeg,(18614)_(1),2,[    0.92663     0.93828],Good,Good,0.96796185
2025-01-07,2025-01-07_11_09_23_(18614)_mackerel_input.jpeg,(18614)_(2),2,[    0.92663     0.93828],Good,Good,0.97752666
2025-01-07,2025-01-07_11_05_24_(18603)_mackerel_input.jpeg,(18603)_(1),2,[    0.94541     0.95164],Good,Good,0.9050963
2025-01-07,2025-01-07_11_05_24_(18603)_mackerel_input.jpeg,(18603)_(2),2,[    0.94541     0.95164],Good,Good,0.9645307
2025-01-07,2025-01-07_10_52_56_(18545)_mackerel_input.jpeg,(18545)_(1),2,[    0.94058     0.94416],Good,Good,0.98337805
2025-01-07,2025-01-07_10_52_56_(18545)_mackerel_input.jpeg,(18545)_(2),2,[    0.94058     0.94416],Good,Good,0.9424578
2025-01-07,2025-01-07_11_11_22_(18625)_mackerel_input.jpeg,(18625)_(1),2,[    0.95091      0.9538],Good,Good,0.97515327
2025-01-07,2025-01-07_11_11_22_(18625)_mackerel_input.jpeg,(18625)_(2),2,[    0.95091      0.9538],Good,Good,0.90140927
2025-01-07,2025-01-07_10_52_45_(18543)_mackerel_input.jpeg,(18543)_(1),2,[    0.95428     0.94343],Good,Good,0.9891855
2025-01-07,2025-01-07_10_52_45_(18543)_mackerel_input.jpeg,(18543)_(2),2,[    0.95428     0.94343],Good,Good,0.39083645
2025-01-07,2025-01-07_10_56_47_(18561)_mackerel_input.jpeg,(18561)_(1),2,[    0.94695     0.93819],Good,Good,0.9827243
2025-01-07,2025-01-07_10_56_47_(18561)_mackerel_input.jpeg,(18561)_(2),2,[    0.94695     0.93819],Good,Good,0.9860085
2025-01-07,2025-01-07_10_54_36_(18551)_mackerel_input.jpeg,(18551)_(1),2,[    0.96527     0.95872],Good,Good,0.9690917
2025-01-07,2025-01-07_10_54_36_(18551)_mackerel_input.jpeg,(18551)_(2),2,[    0.96527     0.95872],Good,Good,0.9151901
